"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2025","3,547.05","3,520.85","3,600.35","3,520.85","2.50M","0.42%"
"04/03/2025","3,532.05","3,474.00","3,551.00","3,464.30","2.80M","1.12%"
"03/03/2025","3,493.05","3,485.00","3,523.25","3,476.15","4.99M","0.28%"
"28/02/2025","3,483.25","3,584.95","3,600.00","3,457.00","7.09M","-3.58%"
"27/02/2025","3,612.55","3,611.70","3,638.00","3,600.70","3.82M","-0.47%"
"25/02/2025","3,629.55","3,625.00","3,658.00","3,621.25","4.10M","-1.25%"
"24/02/2025","3,675.60","3,743.15","3,763.20","3,670.00","2.51M","-2.92%"
"21/02/2025","3,786.00","3,776.10","3,817.00","3,775.00","1.83M","0.17%"
"20/02/2025","3,779.40","3,761.50","3,788.00","3,751.30","2.89M","-0.12%"
"19/02/2025","3,784.10","3,872.20","3,874.95","3,768.15","4.37M","-2.30%"
"18/02/2025","3,873.20","3,898.40","3,924.40","3,864.50","2.15M","-0.80%"
"17/02/2025","3,904.50","3,856.50","3,934.00","3,856.20","1.80M","-0.77%"
"14/02/2025","3,934.85","3,925.00","3,948.00","3,900.00","1.68M","0.63%"
"13/02/2025","3,910.15","3,968.00","3,984.45","3,902.25","2.28M","-1.01%"
"12/02/2025","3,950.15","3,971.10","4,021.75","3,940.15","1.68M","-0.34%"
"11/02/2025","3,963.55","4,018.40","4,040.00","3,955.00","1.81M","-1.82%"
"10/02/2025","4,036.95","4,040.00","4,052.00","4,014.35","1.34M","0.19%"
"07/02/2025","4,029.40","4,090.00","4,090.00","4,008.00","1.55M","-1.31%"
"06/02/2025","4,082.75","4,105.40","4,139.50","4,051.55","2.28M","-0.20%"
"05/02/2025","4,091.10","4,150.00","4,150.00","4,076.00","1.69M","-0.39%"
"04/02/2025","4,107.05","4,083.70","4,118.85","4,066.05","2.55M","0.94%"
"03/02/2025","4,068.65","4,030.90","4,077.00","3,998.70","1.27M","-0.11%"
"01/02/2025","4,073.15","4,113.00","4,135.90","4,056.00","437.17K","-0.95%"
"31/01/2025","4,112.40","4,110.00","4,128.45","4,085.25","1.49M","0.30%"
"30/01/2025","4,100.05","4,099.90","4,129.90","4,058.50","1.53M","0.01%"
"29/01/2025","4,099.80","4,054.00","4,107.85","4,054.00","1.22M","1.47%"
"28/01/2025","4,040.30","4,070.80","4,102.00","4,028.30","2.47M","-0.61%"
"27/01/2025","4,065.15","4,102.00","4,156.35","4,041.05","1.55M","-2.10%"
"24/01/2025","4,152.35","4,104.00","4,178.00","4,104.00","1.91M","0.17%"
"23/01/2025","4,145.45","4,168.00","4,191.35","4,140.05","1.82M","-0.27%"
"22/01/2025","4,156.60","4,050.00","4,163.15","4,044.20","2.41M","2.99%"
"21/01/2025","4,035.85","4,095.30","4,111.00","4,030.00","1.97M","-1.03%"
"20/01/2025","4,077.80","4,145.80","4,145.80","4,068.10","1.29M","-1.13%"
"17/01/2025","4,124.30","4,159.90","4,160.60","4,100.05","1.76M","-0.39%"
"16/01/2025","4,140.30","4,193.16","4,226.62","4,126.08","2.64M","-1.02%"
"15/01/2025","4,182.92","4,151.82","4,189.66","4,141.43","1.65M","0.39%"
"14/01/2025","4,166.63","4,234.50","4,246.21","4,152.85","3.44M","-1.35%"
"13/01/2025","4,223.77","4,178.39","4,255.12","4,161.07","4.00M","0.60%"
"10/01/2025","4,198.72","4,134.10","4,229.58","4,104.57","7.89M","3.96%"
"09/01/2025","4,038.85","4,101.00","4,137.75","4,025.30","2.39M","-1.69%"
